Event Name,Event Time,Location,Club,Image URL,Event URL,Description,Host Organizations,First Host Org,Perks,Categories,Start Time,End Time
Table Tennis Ping Pong Practice Meeting,"Saturday, February 22 at 4:30PM EST",MAC Courts in Campus Rec,Table Tennis Club,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007010,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE",Table Tennis Club,Table Tennis Club,Credit,Sporting/Athletic Program,"Saturday, February 22 2025 at 4:30 PMESTto","Saturday, February 22 2025 at 6:00 PMEST"
CASB: China Night Audition,"Saturday, February 22 at 11:00AM EST",Union 203-11,Chinese Association at Stony Brook ,https://se-images.campuslabs.com/clink/images/d243c412-800b-413d-a279-c8fbf93fc6c689160f7c-54a7-4ed9-911a-70a94e85c7db.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061822,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨",Chinese Association at Stony Brook,Chinese Association at Stony Brook,Credit,No categories found,"Saturday, February 22 2025 at 11:00 AMESTto","Saturday, February 22 2025 at 6:00 PMEST"
Women's Club Volleyball Home Tournament,"Saturday, February 22 at 9:15AM EST","Campus Recreation Center, Wood Courts 2/3",Volleyball Club at SBU,https://se-images.campuslabs.com/clink/images/d81e9bb9-b90b-4051-a513-37e9f96526bbe03abf72-5024-4cb6-b727-0a0712f3a9a8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11092893,No description available,No organizations found,No organizations found,Credit,No categories found,Unknown Start Time,Unknown End Time
Ramen & Lego,"Saturday, February 22 at 6:00PM EST",Union Ballroom,Student Engagement & Activities,https://se-images.campuslabs.com/clink/images/13675ede-09f9-4221-80dd-8285246197bc8d0f6d74-9491-4e41-88ce-7e7de24319e5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11009608,"Join Student Engagement and Activities forRamen & LegoonSaturday 2/22 at Union Ballroom from 6-8 PM!
Come by and enjoy deliciousSlurp Ramen, a friendlyLego competition, chances to winamazing prizes, & much more!
This event is open to all SBU students/guests and is free of charge!
This event is open/first-come, first serve/ticketed/ by RSVP only.
Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.
For accessibility needs please contact sea_programsandtraditions@stonybrook.edu
***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",Student Engagement & Activities,Student Engagement & Activities,"Free Food, Free Stuff, Credit","Arts & Crafts, Movies & Games","Saturday, February 22 2025 at 6:00 PMESTto","Saturday, February 22 2025 at 8:00 PMEST"
QueerMedia Affinity Group,"Saturday, February 22 at 6:30PM EST",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/9ade68ee-a8c5-46f2-9ebc-9329e9ce9cf343a9fa7b-ebe7-400b-a789-d43302f6bd2f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11043525,No description available,No organizations found,No organizations found,Credit,No categories found,Unknown Start Time,Unknown End Time
Wanna Canta 2025,"Saturday, February 22 at 6:00PM EST",Macmahon Student Center: Duncan Sky Room 6th Floor,Philippine United Student Organization,https://se-images.campuslabs.com/clink/images/2a3619f4-7557-4d4a-a957-0f9e5b6da03ab4a017de-5874-441e-be03-9e25fb5beb42.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10864757,"Annual Singing Competition hosted by the Saint Peter’s Affirming Representation of Kababayans at Saint Peter’s Univerisity. PUSO at Stony Brook would be sending one representative to compete at this competition hosted on February 22nd, 2025 at 6:00 pm in the Duncan Family Sky Room of the MacMahon Student Center on Saint Peter’s Univerisity’s campus. PUSO will be competing against 19 other universities around New York and New Jersey.",Philippine United Student Organization,Philippine United Student Organization,Credit,No categories found,"Saturday, February 22 2025 at 6:00 PMESTto","Saturday, February 22 2025 at 9:00 PMEST"
Smash Club Game Night,"Saturday, February 22 at 6:00PM EST",SAC 306,Smash Bros. at SBU,https://se-images.campuslabs.com/clink/images/a2592836-c2b4-413d-9dca-a83177b4f23e2ade60a5-43da-473e-8d95-9f9499731887.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11096904,Come join the Smash club for a game night!,Smash Bros. at SBU,Smash Bros. at SBU,Credit,No categories found,"Saturday, February 22 2025 at 6:00 PMESTto","Saturday, February 22 2025 at 10:00 PMEST"
HopperHacks X,"Saturday, February 22 at 11:00AM EST",SAC Ballroom A,Women in Computer Science,https://se-images.campuslabs.com/clink/images/c061fcec-9e93-4c15-987c-93b67bbbaccf4d1c4f00-3115-432e-9263-ebb5e18b4e16.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10388373,"HopperHacksis a day-long, social good-focused hackathon to encourage students to make an impact on relevant issues that are facing societies around the world today, such as mental/physical health, education, and the environment, all by applying their technical skills. This hackathon is hosted by Stony Brook University's ACM-W chapter,Women in Computer Science (WiCS). WiCS's mission as an organization is to bridge the gap between women and men in computer science, and we work to extend that to all minority groups. Spring 2025 will be WiCS's 10th annual hackathon, HopperHacks X!
This year's Hopperhacks is setting sail with a pirate theme! Whether ye be a seasoned coder or a fresh recruit, join our crew and embark on a treasure hunt for the best hacks. It's time to channel your inner pirate and code like a captain! Avast, there'll be plenty of booty and a bounty of fun activities. So, polish your hooks and get ready to hack the high seas!",Women in Computer Science,Women in Computer Science,"Free Food, Free Stuff, Credit","Career/Networking, Movies & Games","Saturday, February 22 2025 at 11:00 AMESTto","Saturday, February 22 2025 at 10:00 PMEST"
Ice Hockey: Home Game vs. Drexel,"Saturday, February 22 at 8:30PM EST",The Rinx,Ice Hockey,https://se-images.campuslabs.com/clink/images/daf2ad5b-bd25-4f1d-ae59-872ac57dbd335d28be64-0c78-4c76-96a8-8673c325349d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10607893,The Ice Hockey club will host the Drexel Dragons.,No organizations found,No organizations found,Credit,Sporting/Athletic Program,"Saturday, February 22 2025 at 8:30 PMESTto","Saturday, February 22 2025 at 11:30 PMEST"
MA - 56th USA Archery Indoor Nationals,"Saturday, February 22 at 8:00AM EST",Tantasqua Regional High School,Company of Archers,https://se-images.campuslabs.com/clink/images/c887d5d9-5750-4819-90df-91533cfb4f167548da53-4d60-4c22-ac54-27c17c570508.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11065520,No description available,No organizations found,No organizations found,Credit,No categories found,Unknown Start Time,Unknown End Time
Binghamton University Open Fencing Tournament,"Friday, February 21 at 12:00PM EST",Binghamton University,Fencing Club,https://se-images.campuslabs.com/clink/images/1bdaf965-70a6-4d41-a7f3-15a4ac4289922a3b596a-e168-4ebc-abf0-81d6b90a9ff8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11065517,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Fordham Dual,"Sunday, February 23 at 12:00PM EST",Fordham Prep,Wrestling Team,https://se-images.campuslabs.com/clink/images/7c948af5-0ef0-4fb5-90d4-30a8cbf74b1486ea520a-be6a-4205-9003-28e7e3c207c6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10904051,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Table Tennis Ping Pong Practice Meeting,"Sunday, February 23 at 1:30PM EST",MAC Courts in Campus Rec,Table Tennis Club,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007011,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Ballroom Team Open Practice,"Sunday, February 23 at 12:00PM EST",SAC 110,Ballroom Dance Team,https://se-images.campuslabs.com/clink/images/3e7dfb5a-d2dc-4e27-96f9-1f3f420ddc48e26624d3-0773-4403-bc7f-87a75734c41d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11064334,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Resume Building with Google Docs,"Sunday, February 23 at 3:00PM EST",Online,DoIT,https://se-images.campuslabs.com/clink/images/6e4372bb-5dfe-487e-a940-99d5c47e2296092efefd-5311-4265-a765-ad56195bca0a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11096934,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Weekly SBU Kendo Practice,"Sunday, February 23 at 3:00PM EST",Wood Court #3 in Recreation Center,Kendo Club at SBU,https://se-images.campuslabs.com/clink/images/658f9509-7802-447d-a1fe-518d7cd2e659ed42a23c-da0e-416f-b69f-d84844673f2b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007079,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Fencing Practice,"Sunday, February 23 at 3:00PM EST",CRC - MAC Courts,Fencing Club,https://se-images.campuslabs.com/clink/images/7a989998-65c0-463f-bc42-e36811ede136633e40fd-91b1-4e20-a5b0-fcf2b1598957.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926793,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Brook Con Artist Alley Workshop,"Sunday, February 23 at 2:00PM EST",SAC 311,Animated Perspectives,https://se-images.campuslabs.com/clink/images/d0110733-74cf-4b14-ae7b-9bc5abd6bdbdb4a5bbbb-b893-48e3-9bd8-a08a5944449d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11071149,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Queer and Asian Affinity Group,"Sunday, February 23 at 4:00PM EST",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/a98a27fb-dbf9-4f32-a6f0-b74d75657b48a72a9805-3986-4af5-a144-53a49a071aa6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11043490,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
CASB: China Night Audition,"Sunday, February 23 at 11:00AM EST","SAC 302, SAC 303, SAC 304",Chinese Association at Stony Brook ,https://se-images.campuslabs.com/clink/images/f0cb10d3-bdc9-4d38-86ae-0321939722b63170fdca-c9ba-46fb-9c5d-a75755332572.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061825,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Roller Hockey Practices (Spring Semester),"Sunday, February 23 at 4:00PM EST",Rapid Fire Arena Inc,Roller Hockey,https://se-images.campuslabs.com/clink/images/6a596c06-4bf0-445e-bee9-f6088604ed314378c76f-3711-4098-9d73-3a4e282c4fb7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10913769,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
SBU Roundnet Weekly Practices,"Sunday, February 23 at 4:30PM EST",Rec and Wellness Center MAC Courts (basement),Roundnet at SBU,https://se-images.campuslabs.com/clink/images/218575dd-6b7e-4dd6-a75d-5875299c8d5b333bc29a-764d-463d-afd6-6c3475923816.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11028582,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Competitive Dodgeball Club Practice,"Sunday, February 23 at 4:30PM EST",Campus Recreation Center Wood Court #3,Dodgeball Club,https://se-images.campuslabs.com/clink/images/63c7e11f-1220-48fa-894c-3e681c613d58500f2362-e6ae-45cf-8bde-31e9173e546d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971352,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Sunday Catholic Mass,"Sunday, February 23 at 5:00PM EST",Union Ballroom,Catholic Campus Ministries,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185813,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Sunday Catholic Mass,"Sunday, February 23 at 5:00PM EST",Union Ballroom,Catholic Campus Ministries,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185812,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tennis Club - Long Beach Tennis Center Invitational,"Friday, February 21 at 10:00AM EST",Long Beach Tennis Center,Tennis Club,https://se-images.campuslabs.com/clink/images/c958428e-f294-4de4-aee1-bbcb9e98d37b5d6c9eb0-7a74-4e88-b81e-892681ff8f4e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11076733,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Squid Games the Experience NYC Trip,"Sunday, February 23 at 9:00AM EST","111 W 32nd St, New York, NY 10001",Student Engagement & Activities,https://se-images.campuslabs.com/clink/images/87a3b331-1f9a-4529-a33e-797ec57da986dd8b52a8-4498-4571-a9cd-d6fc1506bb52.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10719734,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
High C's Sunday Rehearsals,"Sunday, February 23 at 4:00PM EST",SAC Rehearsal Space,High Cs,https://se-images.campuslabs.com/clink/images/54aed101-98bc-4da5-9db9-d17a4f6debcccaece2c9-5417-49ad-bb39-9d2456271b3e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10827830,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Sunday Volleyball Club Practice,"Sunday, February 23 at 6:00PM EST",Campus Recreation Center Wood Courts 2/3,Volleyball Club at SBU,https://se-images.campuslabs.com/clink/images/3084dfd0-6f59-4384-8d3a-5c61366dee7095f6c114-7f50-41c0-bc9c-005f81d35fdb.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971408,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Cricket Practice Session,"Sunday, February 23 at 6:00PM EST",MAC Courts,Cricket Club at Stony Brook University,https://se-images.campuslabs.com/clink/images/baea359b-2397-4f24-bfc6-0d73f47a68b7a4b71577-6c03-4e20-bbe3-0867d64ad086.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11035725,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
HopperHacks X Awards,"Sunday, February 23 at 6:00PM EST",SAC AUD,Women in Computer Science,N/A,https://stonybrook.campuslabs.com/engage/event/10291864,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
KBS Dance Team Sunday Practice,"Sunday, February 23 at 6:00PM EST",UNION L03-01,KBS Dance Team,N/A,https://stonybrook.campuslabs.com/engage/event/10685412,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
SBAAU Ice Hockey PLAYOFFS,"Friday, February 21 at 12:00PM EST",The Rinks at the Sports Center:,Stony Brook AAU Ice Hockey ,https://se-images.campuslabs.com/clink/images/c9572c03-3703-4b30-8d38-3e27de4885b5fc21dd1f-83c2-4b5b-ac2c-adfa6b89833d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10962003,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Spring Ball 2025,"Sunday, February 23 at 6:30PM EST",SAC Ballroom A,Indian Graduate Student Association,https://se-images.campuslabs.com/clink/images/75405a6a-82e9-4aec-bc0f-c8cfb28af73c3626f902-7179-4279-a8dd-fc9dc2d34e65.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11040281,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
NJ Naach,"Friday, February 21 at 8:00AM EST",Patriots Theater at the War Memorial in Trenton,Raaswalas,https://se-images.campuslabs.com/clink/images/2269a339-0b1d-4c2d-9b91-1d2115f48d646e77eaa3-7767-4895-a468-e7b12a4bf600.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10767131,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
CPAC 2025,"Wednesday, February 19 at 12:00AM EST","Comfort Inn, Washington, D.C.",College Republicans,https://se-images.campuslabs.com/clink/images/4855f0d3-107a-404d-9b00-9f0cbace2ad079d0d4b7-c3fb-436f-9f6b-f0bd564875ce.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10906272,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
72nd USHA 4-Wall National Collegiate Championship,"Monday, February 17 at 7:00AM EST","Multnomah Athletic Club - Portland, Oregon",Handball Club,https://se-images.campuslabs.com/clink/images/d4b81638-96a6-4fa5-8c70-a8dac59986e51aae0c96-28f8-4b52-a955-541e87ec6770.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10228213,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
"Pre-ROME: Seawolves Vote, Seawolves Engage","Monday, February 24 at 12:00PM EST",Frey 100,Unknown Club,N/A,https://stonybrook.campuslabs.com/engage/event/11057719,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Birthright FREE trip to Israel tabling,"Monday, February 24 at 11:00AM EST",1st Floor Lobby,Stony Brook Hillel,https://se-images.campuslabs.com/clink/images/83e5c848-497a-42a2-b6ef-61fed805106d9c9c90dc-6047-48f2-a4bc-381f3ebc2c09.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10917414,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
NSBE GBM 1: LEARN MORE ABOUT NSBE & CONFERENCES,"Monday, February 24 at 12:00PM EST",SAC 305,National Society of Black Engineers,https://se-images.campuslabs.com/clink/images/2d2584a8-533d-4074-8c96-b8e8480b0f6a252d7ccd-27e3-4716-9cb6-d1e016f09230.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11094180,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Stud-Tea Sessions With Tau Beta Pi,"Monday, February 24 at 12:30PM EST",LIBRRY W4540,Tau Beta Pi The Engineering Honor Society,https://se-images.campuslabs.com/clink/images/02f512cd-38d2-484a-a858-0459a7ef1c0f7aa22bbe-a3a1-4241-8a31-272048eb6c1b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11099783,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Your Guide to Securing Campus Jobs,"Monday, February 24 at 12:30PM EST",SAC 306,Career Center,https://se-images.campuslabs.com/clink/images/ddf308af-e52f-4bf7-9b47-ecedc2972cad8e750dc9-4a39-42fe-9bb5-cbf6277e60d5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10908489,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
President Alumni Panel,"Monday, February 24 at 12:30PM EST",Online,Finance Society at SBU,N/A,https://stonybrook.campuslabs.com/engage/event/11091386,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tea and Talk,"Monday, February 24 at 12:30PM EST",SAC 303,Russian Corner,https://se-images.campuslabs.com/clink/images/c7fe70b6-afd3-40d0-950a-75a2d53057a0247243c2-3860-4af3-8042-afc475f77aea.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077718,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Classical Latin Club GBM,"Monday, February 24 at 1:00PM EST",Frey 205,Classical Latin Club,https://se-images.campuslabs.com/clink/images/c70a1378-851d-44ce-98e3-3e19a74eae5bf585c61a-e981-43fb-813a-95bb4031a58b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11067482,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Week 4: SEA Club Leader Social,"Monday, February 24 at 12:30PM EST",Shore Club,Student Engagement & Activities,https://se-images.campuslabs.com/clink/images/b07e506d-b1fb-4486-9a21-988daea83a5192311af3-9de6-4d01-af33-773bec02b48e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10983535,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
International Student Campus Lifetime,"Monday, February 24 at 12:30PM EST","Union Ballroom, Stony Brook Union",The Office of Global Affairs,https://se-images.campuslabs.com/clink/images/78fb3534-93ee-4100-a401-9f00c4a86e055884fc7b-abaa-4fc0-9e15-a9c426ee9664.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10982050,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
USG Spring Budget Weekend Training,"Monday, February 24 at 1:00PM EST",Online,Undergraduate Student Government ,https://se-images.campuslabs.com/clink/images/8538f323-9913-46db-8117-82fb13d72b1e14e222cd-276e-44f8-81b2-f57d7666ccdf.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11090270,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
SF4M GBM!,"Monday, February 24 at 1:00PM EST",Student Union L06-08,Science Fiction Forum,https://se-images.campuslabs.com/clink/images/3efd913d-0359-4b1f-bece-d73992369d722d401bee-e2a5-4ed2-81c8-6c95b3b77938.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007480,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
USG Elections Informational Session,"Monday, February 24 at 1:00PM EST","Student Activities Center, RM 223",Undergraduate Student Government ,https://se-images.campuslabs.com/clink/images/44ff53f6-71d6-4b19-a225-2f035e327091b0c70ead-9043-4d8b-81c0-ae98d2f475b0.pdf?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11056322,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Video Editing with Adobe Express,"Monday, February 24 at 2:00PM EST",Online,DoIT,https://se-images.campuslabs.com/clink/images/78d85800-4791-488e-880c-87d37690ea7d80c5a4f9-67c5-42d2-b52b-a2740c2c081b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10801415,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Planned Parenthood Mobile Health Center at SBU,"Monday, February 24 at 10:00AM EST",SAC Faculty and Staff Parking Lot #13,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/d4a857c9-739f-4130-9322-b09e4fb694ae09a068d0-c41d-47ff-b7ac-5185d849eeae.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10785760,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
HSA Momo Fundraiser,"Monday, February 24 at 12:00PM EST",SAC LOBBY,Himalayan Student Association,https://se-images.campuslabs.com/clink/images/47e3d52f-4686-4a63-ab13-0a36a0584fb35b6ac05c-df38-40af-b9ff-2b116a008883.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11045459,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Community Wellness Walk with CPO,"Monday, February 24 at 3:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/eb8c50cd-71fb-4b8b-b336-e2350c050ea860eeda22-9571-4787-8e64-c7e3796a374b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11084147,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Graduate Badminton - Club Hours,"Monday, February 24 at 3:00PM EST",MAC Courts,Graduate Badminton Union,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063746,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Figure Skating Off-Ice Practice,"Monday, February 24 at 3:30PM EST",Campus Recreation Center Multipurpose Room,Figure Skating Club at Stony Brook University,https://se-images.campuslabs.com/clink/images/e4e170eb-845d-410c-9281-edfdf699f16dba1b101d-8070-4b70-bdbb-fad3e5448463.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11032911,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
CPO Mini-Series: Coping + Resilience,"Monday, February 24 at 4:00PM EST",CPO (Union 108),Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/2f9d3f84-f957-4771-b74f-88d5f19eec7eab33dad6-532a-44b9-b1e0-c1324d24db85.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10995617,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
A Deep Dive into The Dyatlov Pass Incident,"Monday, February 24 at 5:00PM EST",SAC 302,True Crime & Conspiracy Theories,https://se-images.campuslabs.com/clink/images/37f31c96-89a8-4b0b-b7d0-129c5226e42cfc7b2f89-ce8d-4cfd-9a35-909d40883913.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095924,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Mindful Moments,"Monday, February 24 at 5:00PM EST",Center for Prevention and Outreach,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/01ce18d2-51be-47ea-a8d8-3391721c99a630176208-cfe5-430f-a4bd-9fa94f61d7ad.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11060527,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Community Wellness Walk with CPO,"Monday, February 24 at 5:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/2cb38ba7-2ca9-4f79-b95e-40b65e69d18ad49ac54c-37a1-4d7e-bdca-3e01666324e2.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11055138,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Spring Flow Practice 1,"Monday, February 24 at 5:00PM EST",Union Rehearsal Space,Flow at SBU,N/A,https://stonybrook.campuslabs.com/engage/event/10931644,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Queer and Crafts Affinity Group,"Monday, February 24 at 5:00PM EST",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/5e9fdbdf-95fc-40a3-a992-6a7c78cd4abe7d211ee8-3d9f-429a-b2c3-f5b3bbaefde5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11051919,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Professional Development: Fellowships & Summer Research Programs,"Monday, February 24 at 5:30PM EST",Chemistry Building 412,American Chemical Society,https://se-images.campuslabs.com/clink/images/ee020ff6-45c0-4e8f-bca3-86f03def51f8e119b633-d01f-4156-894f-aacabeee4177.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095868,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
